Sr. No,Name of NPO,"Registration No,District (State)",Address,Sectors
548,SARACOM INDIA DIGITAL PRIVATE LIMITED,"U62020JH2023PTC020063
DEOGHAR (Jharkhand)","C/O Dayamanti devi W/OBalmukund prasad verma, Bandha Bypass Road, Deoghar, Jharkhand Pin- 814112 Mob- 7970876910, DEOGHAR, DEOGHAR (Jharkhand) - 814112",--
549,SARAMCARE FOUNDATION,"U85500JH2024NPL023472
EAST SINGHBUM (Jharkhand)","C/O RAMESH KUMAR SINGH, KHATA NO23, PLOT NO- 343, KESHI KUDAR, NEAR SHIV MANDIR, P.O.- LUABASA, P.S.- GOVINDPUR, JAMSHEDPUR, EAST SINGHBHUM, JHARKHAND - 831008, JAMSHEDPUR, EAST SINGHBUM (Jharkhand) - 831008",--
550,SARASWATI BAGICHA SEVA FOUNDATION,"U85490JH2024NPL022212
RAMGARH (Jharkhand)","C/O CHANDRA SHEKHAR, H NO-141, RAJRAPPA ROAD, Sandi, Gola, Ramgarh- 829150, Jharkhand, Gola, RAMGARH (Jharkhand) - 829150",--
551,SARBA SHIKSHA SAMAAGAM FOUNDATION,"U85499JH2024NPL023032
JAMTARA (Jharkhand)","C/O Mogal Harijan, Hansipahari, Butberia, Mihijam, Jamtara, Jamtara- 815354, Jharkhand, JAMTARA, JAMTARA (Jharkhand) - 815354",--
552,SARDA AGRICULTURE RESEARCH AND DEVELOPMENT AGENCY,"U73100JH2012NPL000783
RAMGARH (Jharkhand)","“SARDA Bhawan”, Chhotki Murram, Ramgarh Cantt., Dist.- Ramgarh (JH) PIN:829122, Ramgarh, RAMGARH (Jharkhand) - 829122",--
553,Sarhul Dream Foundation,"U88900JH2025NPL024846
HAZARIBAGH (Jharkhand)","BARKAGAON HAZARIBAGH JHARKHAND 825311, Barkagaon, HAZARIBAGH (Jharkhand) - 825311","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Land Resources, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Prisoner's Issues, Religious, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research, Skill Development, Sports, Tourism, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
554,SARHUL WELFARE FOUNDATION,"U88100JH2024NPL023384
EAST SINGHBUM (Jharkhand)","C/O SARASWATI SARKAR, DAHIGORA JAMSHEDPUR, Ghatsila, Ghatsila, East Singhbhum- 832303, Jharkhand, JAMSHEDPUR, EAST SINGHBUM (Jharkhand) - 832303",--
555,SARTHAK DIVYANG NAVKIRAN SASHAKT FOUNDATION,"U85300JH2022NPL019376.
HAZARIBAGH (Jharkhand)","DATMA BASTI POST TOPA, PS MUNDU KUJJU, RAMGARH, Hazaribagh, Jharkhand, India, 825330, HAZARIBAGH, HAZARIBAGH (Jharkhand) - 825330",--
556,Sarvajan Sukhay Sarvajan Hitay Foundation,"U74999JH2017NPL009741
EAST SINGHBUM (Jharkhand)","Sarvajan Sukhay Sarvajan Hitay Foundation H. No-21, Rajstate, Chalakdih, Ghatsila, Dist-East Singbhum, East Singbhum, Purba Singhbhum, Jharkhand-832303, jharkhand, EAST SINGHBUM (Jharkhand) - 832303",--
557,SARVJANIK DURGA PUJA FOUNDATION,"021372
CHATRA (Jharkhand)","C/O RANDHIR SINGH, PAROKA KALA, ITKHORI, CHATRA, JHARKHAND825408, ITKHORI, CHATRA (Jharkhand) - 825408",--
558,SARVODAYA JANHIT PRAGATI FOUNDATION,"U94120JH2025NPL025467
RANCHI (Jharkhand)","SARVODAYA JANHIT PRAGATI FOUNDATION MP/2 HARMU HOUSING COLONY, NEAR HOUSING BOARD HARMU, Harmu Housing Colony, Ranchi, Ranchi- 834002, Jharkhand, Ratu, RANCHI (Jharkhand) - 834002","Aged/Elderly, Art & Culture, Children, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, Labour & Employment, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Rural Development & Poverty Alleviation, Skill Development, Tribal Affairs, Vocational Training, Women's Development & Empowerment"
559,SARVOHIT PARITRAN FOUNDATION,"U88900JH2023NPL021559
EAST SINGHBUM (Jharkhand)","C/O SHIV PERSON SINGH, Barah Golai Gudari Bazar, Sonari (East Singhbhum), East Singhbhum, East Singhbhum- 831011, Jharkhand, East Singhbhum, EAST SINGHBUM (Jharkhand) - 831011",--
560,SARVOTTHAN HIND FOUNDATION,"U85500JH2024NPL022427
DEOGHAR (Jharkhand)","C/o Sunil Kumar Roy, Raidh Po-Ghorlas, Jasidih, Deoghar, Deoghar, Jharkhand, India, Deoghar, DEOGHAR (Jharkhand) - 814142",--
561,SARVSASHAKT EDUCATIONAL FOUNDATION,"U88900JH2025NPL024690
GIRIDIH (Jharkhand)","HNO 67 AT LAKHARI PS PACHAMBA PO SIRSIYA Giridih Giridih Giridh 815301 Jharkhand, Giridih, GIRIDIH (Jharkhand) - 815301","Agriculture, Art & Culture, Children, Civic Issues, Drinking Water, Education & Literacy, Health & Family Welfare, Human Rights, Nutrition, Right to Information & Advocacy, Skill Development, Water Resources, Women's Development & Empowerment, Youth Affairs"
562,SARVSHRI ADITYA DEV FOUNDATION,"U88900JH2025NPL025118
PALAMU (Jharkhand)","H.NO-56 NARSINGH PUR, CHAINPUR VILLAGE NAGWA, Mahugawan, Chinpur, Palamau- 822110, Jharkhand, Chainpur, PALAMU (Jharkhand) - 822110","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Land Resources, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Prisoner's Issues, Religious, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research, Skill Development, Sports, Tourism, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
563,SASAKT SAMAJ FOUNDATION,"U85300JH2022NPL018392
SAHEBGANJ (Jharkhand)","TEACHERS COLONY RASULPUR, DAHLA, SAHIBGANJ, SAHIBGANJ, JHARKHAND, INDIA, 816109, SAHIBGANJ, SAHEBGANJ (Jharkhand) - 816109",--
564,Satya Sanatan Dharm Foundation,"119935
RANCHI (Jharkhand)","D33, HARMU HOUSING COLONY, RANCHI, JHARKHAND, RANCHI, RANCHI (Jharkhand) - 834002",--
565,SATYARKA V FOUNDATION,"025261
RANCHI (Jharkhand)","C/O SUNIL KUMAR, QTR NO HB-4, ADARSH NAGAR, Dhurwa, Ranchi, Ranchi, Jharkhand, India, 834004, Namkum, RANCHI (Jharkhand) - 834004","Agriculture, Art & Culture, Children, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, Micro Small & Medium Enterprises, Skill Development, Tourism"
566,SAUNDA BASTI SANGHARSH FOUNDATION,"U85300JH2022NPL019521
RAMGARH (Jharkhand)","C/O NITISH KUMAR, TARA PRASAD SARAIYA, TOLA, JAINAGAR SARAIYA TOLA, RAMGARH, Hazaribagh, Jharkhand, India, 829133, RAMGARH, RAMGARH (Jharkhand) - 829133",--
567,SAVITA MEDICAL FOUNDATION,"U86100JH2023NPL021649
RANCHI (Jharkhand)","2nd floor ,Max orthopaedic hospital Amethhiya Nagar Namkum Ranchi,Jharkhand, 834010, Ranchi, RANCHI (Jharkhand) - 834010",--
568,SAYOMA EDUCATIONAL AND WELFARE FOUNDATION,"U85300JH2018NPL010940
DHANBAD (Jharkhand)","C/O.Shyama Nand Singh, Adityam House Ground Floor Professor Colony Maithon Dhanbad, Maithon, DHANBAD (Jharkhand) - 828207",--
569,SERENITY FOUNDATION,"U85300JH2022NPL019543
BOKARO (Jharkhand)","C/O RAM UDAR GOSWAMI RSMIT BILDING RAGHUNATHDIH YOGIDIH CHAS BOKARO JHARKHAND INDIA 827013, BOKARO STEEL CITY, BOKARO (Jharkhand) - 827013",--
570,SEVA PATRA FOUNDATION,"U88900JH2023NPL020347
DHANBAD (Jharkhand)","Flat No. G-A Geetanjali Heights, Dhruw Singh Colony, Rahargora, Dhaiya, Dhanbad, DHANBAD (Jharkhand) - 826004",--
571,SEWASHREE WELFARE FOUNDATION,"U88900JH2025NPL025455
GIRIDIH (Jharkhand)","C/O RAJESH KUMAR, TIKAMAGHA, JAMUA, MIRZAGANJ, GIRIDHI, 815315, JHARKHAND, Giridih, GIRIDIH (Jharkhand) - 815315","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Children, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Land Resources, Micro Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Prisoner's Issues, Religious, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Skill Development, Sports, Tourism, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
572,SHAHEED MANZURUL HASSAN MEMORIAL FOUNDATION,"U85300JH2022NPL017858
RAMGARH (Jharkhand)","NEAR JAMA MASJID AT, RAMGARH, RAMGARH (Jharkhand) - 825101",--
573,SHAHEED MUBARAK KHAN MEMORIAL FOUNDATION,"U88900JH2025NPL025131
RANCHI (Jharkhand)","HOUSE OF MUBARAK KHAN, SAINIK MARKET, Mandar Ranchi Jharkhand, Mandar, RANCHI (Jharkhand) - 835214","Aged/Elderly, Education & Literacy, Rural Development & Poverty Alleviation, Sports, Urban Development & Poverty Alleviation, Women's Development & Empowerment, Youth Affairs"
574,SHAILPUTRI KATYAINI FOUNDATION,"U85500JH2024NPL022869
DHANBAD (Jharkhand)","C/O SIDDHARTH DAS, COLONY SHIVALAY, CHANCHALA AKASH DHANBAD SARAIDHELA DHANBAD-828127 JHARKHAND TEL. NO.:011-8789117283, SARAIDHELA, DHANBAD (Jharkhand) - 828127",--
575,SHALOM JEEVANJYOTI FOUNDATION,"U88900JH2024NPL023711
DHANBAD (Jharkhand)","MURRADIH PS BARWADDA DHANBAD 826004, DHANBAD, DHANBAD (Jharkhand) - 826004",--
576,SHAMB SARVKAMA FOUNDATION,"U88900JH2024NPL023094
RANCHI (Jharkhand)","SHAMB SARVKAMA FOUNDATIONC/O MANOJ KUMAR PATHAK AT BIHAR CLUB ROAD, KUTCHERYKANTATOLI, RANCHI-834001, JHARKHAND, RANCHI, RANCHI (Jharkhand) - 834001",--
577,SHANTI KRITNISCHAY SEVA FOUNDATION,"024928
CHATRA (Jharkhand)","C/O RAMAVATAR PRASAD, CHOUR MUHALLA, WARD NO 01, CHATRA BAZAR, Chatra, CHATRA (Jharkhand) - 825401","Agriculture, Animal Welfare, Art & Culture, Civic Issues, Education & Literacy, Environment & Forests, Health & Family Welfare, Human Rights, Information & Communication Technology, Labour & Employment, Legal Awareness & Aid, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Skill Development, Sports, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
578,SHANTISAHAYAK CHARITABLE FOUNDATION,"U88900JH2024NPL021831
RANCHI (Jharkhand)","AE16,DIVDHI, DIBDIH ASHOK ENCLAVE DIBDIH POOL, RANCHI - 834002 JHARKHAND, Ranchi, RANCHI (Jharkhand) - 834002",--
579,SHANTISHADBHAW FOUNDATION,"U85499JH2023NPL021575
HAZARIBAGH (Jharkhand)","LOHAR, TOLA HARLI, HARLI, BARKAGAON, HAZARIBAG, JHARKHAND, 825311, HAZARIBAGH, HAZARIBAGH (Jharkhand) - 825311",--
580,SHIV VEENA EDUCATIONAL FOUNDATION,"U85499JH2025NPL023985
KODERMA (Jharkhand)","c/o shivcharan pandit , bagro , domchanch ,bagro, koderma koderma - 825418 , jharkhand ,india, Domchanch, KODERMA (Jharkhand) - 825418","Children, Education & Literacy"
581,SHIVCHARANMAHTO WELFARE FOUNDATION,"U88900JH2024NPL023442
BOKARO (Jharkhand)","LAHARBERA, BIRNI, BOKARO, JHARKHAND, 829144, BOKARO, BOKARO (Jharkhand) - 829144",--
582,SHODHPRAKASH ACADEMIC RESEARCH FOUNDATION,"U85490JH2024NPL023252
HAZARIBAGH (Jharkhand)","C/O Pritam Kumar, Ichak, Darha, Ichak, Hazaribag, Hazaribagh, HAZARIBAGH (Jharkhand) - 825402",--
583,shramik vidyapeeth,"634/84
RANCHI (Jharkhand)","HAWAI NAGAR ROAD NO. 6 834003, Nagri, RANCHI (Jharkhand) - 834004","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Micro Finance (SHGs), Rural Development & Poverty Alleviation, Vocational Training, Women's Development & Empowerment"
584,SHREE DEEPYOTI SDAUSRA FOUNDATION,"U88900JH2025NPL024185
HAZARIBAGH (Jharkhand)","C/O ARVIND KUMAR PREMNAGA, BARKAGAON, HAZARIBAGH, Barkagaon, Barkagaon, Hazaribag- 825311, Jharkhand, Barkagaon, HAZARIBAGH (Jharkhand) - 825311","Art & Culture, Education & Literacy, Environment & Forests, Health & Family Welfare, Skill Development, Sports"
585,SHREE LALITAKRISHNA CHARITABLE FOUNDATION,"U94910JH2025NPL024730
RANCHI (Jharkhand)","RANCHI, RANCHI, JHARKHAND, Angara, RANCHI (Jharkhand) - 834001","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Land Resources, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Prisoner's Issues, Religious, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research, Skill Development, Sports, Tourism, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
586,SHREE RABINDRA PRASAD FOUNDATION,"U85300JH2022NPL019763
HAZARIBAGH (Jharkhand)","589 at Kundilbagi, Nawada, Near Cold Storage PO- Nawada, PS- Katkamdag, Hazaribagh, HAZARIBAGH, HAZARIBAGH (Jharkhand) - 825302",--
587,SHREE SHREE MAA NAGEHSWARI CHARITABLE FOUNDATION,"U94910JH2024NPL022720
RAMGARH (Jharkhand)","C/O BABLU KUMAR, WARD 04, Plot No 1953, PARSOTIYA , Ramgarh Cantt, RAMGARH (Jharkhand) - 829122",--
588,Shree Vaibhav Lakshmi Microcredit Foundation,"U74999JH2016NPL009316
EAST SINGHBUM (Jharkhand)","H.NO. 11, TATA LINE,, GOLMURI, P.O. AGRICO, JAMSHEDPUR, Purba Singhbhum, Jharkhand, India, 831009, EAST SINGHBHUM, EAST SINGHBUM (Jharkhand)",--
589,SHREEDAYINI FOUNDATION,"U88900JH2024NPL023608
EAST SINGHBUM (Jharkhand)","FLAT NO-C/2, SINGH RATAN, TOWER NIRMAL NAGAR SONARI, SONARI, EAST SINGHBHUM, JHARKHAND, PIN-831011, SONARI, EAST SINGHBUM (Jharkhand) - 831011",--
590,SHREEJANAARTH FONUDATION,"U88900JH2025NPL024936
RAMGARH (Jharkhand)","Khasra No 1720 Mandudih Ramgarh Kuju, Ramgarh, RAMGARH (Jharkhand) - 825316","Art & Culture, Civic Issues, Education & Literacy, Health & Family Welfare, Labour & Employment, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Rural Development & Poverty Alleviation, Skill Development"
591,SHREESUNDRAM FOUNDATION,"U88900JH2025NPL024843
SAHEBGANJ (Jharkhand)","Labda, Block ps Barharwa Po- Pathna, Ward 14, Pathna, Sahibganj, Pathna, Jharkhand, India, 816110, Sahibganj, SAHEBGANJ (Jharkhand) - 816110","Agriculture, Art & Culture, Children, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, Human Rights, Labour & Employment, Religious, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Skill Development, Urban Development & Poverty Alleviation, Vocational Training, Women's Development & Empowerment, Youth Affairs"
592,SHREYA TECHNICAL COUNCIL,"U80900JH2022NPL019052.
JAMTARA (Jharkhand)","C/O MEERA SINGH BIRSANGAR ZONE NO, 6 JAMSHEDPUR EAST SINGHBHUM, JAMSHEDPUR, Pashchim Singhbhum, Jharkhand, India, 831007, JAMSHEDPUR, JAMTARA (Jharkhand) - 831007",--
593,SHRI BABA RAMDAS EDUCATION FOUNDATION,"U88900JH2025NPL024388
DHANBAD (Jharkhand)","CHANDANKIYARI,MAHAL,DHANBAD, Dhanbad-Cum-Kenduadih-Cum-Jagata, DHANBAD (Jharkhand) - 828303","Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare"
594,SHRI KAMESHWARAM VIDYAPEETH FOUNDATION,"U85499JH2023NPL020463
LATEHAR (Jharkhand)","AMBEDKAR NAGAR,Balumath,Balumath,Latehar-829202,Jharkhand, LATEHAR, LATEHAR (Jharkhand) - 829202",--
595,SHRISH RISING FOUNDATION,"U85499JH2023NPL021386
RANCHI (Jharkhand)","C/O ARJUN DAS GOSWAMI, NEEMTAND KEDAL,NEEMTAND, MESRA, Ranchi, Ranchi, Jharkhand, India, 835215, Ranchi, RANCHI (Jharkhand) - 835215",--
596,SIDO- KANHU MURMU SOCIAL WELFARE FOUNDATION,"U88900JH2025NPL024393
GODDA (Jharkhand)","C/O RAVI KUMAR PANDIT, 54, GHUNGHASA GODDA ROAD, Nawdiha, Poraiyahat, Godda- 814153, Jharkhand, Godda, GODDA (Jharkhand) - 814153","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Education & Literacy, Environment & Forests, Health & Family Welfare, Tribal Affairs, Women's Development & Empowerment"
597,SINDU EMPOWER FOUNDATION,"U85190JH2022NPL018365
SARAIKELA KHARSAWAN (Jharkhand)","38, ROAD NO 1, GAYATRI NAGAR-2. 38 ROAD NO 1, JHARKHAND, SERAIKELA, SERAIKELA, SARAIKELA KHARSAWAN (Jharkhand) - 832108",--
598,SKD INNOVATION SERVICE FOUNDATION,"U88900JH2024NPL022402
DEOGHAR (Jharkhand)","June Pokhar, Kali Rakha, B.Deoghar, Deoghar, Deoghar- 814112, Jharkhand, deoghar, DEOGHAR (Jharkhand) - 814112",--
599,SKILL HEALTH AGRICULTURE AND RURAL PLANNING,"U85300JH2015NPL002962.
GARHWA (Jharkhand)","Vill Kundi P.O Ranka Baulia Dist : Garhwa Jharkhand 822114, Garhwa, GARHWA (Jharkhand) - 822114",--
600,SKILLMATE NEST FOUNDATION,"U88900JH2023NPL020887
DHANBAD (Jharkhand)","C/O DEEPA GURANG, NEAR- KHATAL, SAMSHIKRA BASTI, MOONIDIH, Dhanbad, DHANBAD (Jharkhand) - 828129",--
601,SKM COLLEGE OF EDUCATION FOUNDATION,"U88900JH2024NPL023652
RANCHI (Jharkhand)","R- 25/4, HARMU HOUSING, COLONY, ARGORA,, Doranda, RANCHI (Jharkhand) - 834002",--
602,SLNKO FOUNDATION,"U85300JH2021NPL016996
PALAMU (Jharkhand)","VILL KHIRIBAR PO PURBDIHA, DIST PALAMAU, PALAMU (Jharkhand) - 822110",--
603,SOCIAL SMILE FOUNDATION,"U85300JH2021NPL017206
RANCHI (Jharkhand)","120, Sunday Market, Ratu, Near East Gate Ratu Palace, Ranchi, Jharkhand, India835222, Ranchi, RANCHI (Jharkhand) - 835222",--
604,SOCIALPRAISE EDUCATION FOUNDATION,"U85500JH2024NPL022096
HAZARIBAGH (Jharkhand)","C/O UN SINGH OKNI, HAZARIBAGH, Bara Bazar825301, Jharkhand, HAZARIBAGH, HAZARIBAGH (Jharkhand) - 825301",--
605,SOCIO-ENVIRO WELFARE FOUNDATION,"022958
RANCHI (Jharkhand)","FLT NO.C/309, BLK-C, PEARL CREST APT, ARGORA, PUNDAG RD, Ashok Nagar (Ranchi),Ranchi- 834002, Jharkhand, Ranchi, RANCHI (Jharkhand) - 834002",--
606,SOOKSHMACHETNA FOUNDATION,"U85300JH2021NPL015834
WEST SINGHBHUM (Jharkhand)","280 F ROAD, SONARI WEST LAYOUT, KAGAL NAGAR, JAMSHEDPUR, PASHCHIM SINGHBHUM, JHARKHAND-831011, JAMSHEDPUR, WEST SINGHBHUM (Jharkhand) - 831011",--
607,SOWER ATS FOUNDATION,"U88100JH2024NPL023352
BOKARO (Jharkhand)","CIO MAHABIR DAS VILL- PIPRADIH, TOLA- LALMATIYA, POST- CHANDRAPURA, PS- CHANDRAPURA DIST- BOKARO, JHARKHAND PIN- 828403 MOB- 7903181973, BOKARO, BOKARO (Jharkhand) - 828403",--
608,SPAK FOUNDATION,"U01620JH2025NPL024540
GARHWA (Jharkhand)","Ward no-02 Karbla Road Unchari Garhwa Jharkhand-822114, Garhwa, GARHWA (Jharkhand) - 822114","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Children, Education & Literacy, Food Processing, Health & Family Welfare, Panchayati Raj, Religious, Scientific & Industrial Research, Skill Development, Women's Development & Empowerment, Youth Affairs"
609,SPEEDHELP DISABILITY REHABILITATION FOUNDATION,"U85300JH2022NPL017863
DEOGHAR (Jharkhand)","C/O NIRJESH KUMAR INFRONT OF BAJLA HOUSE CASTAIRS TOWN DEOGHAR DEOGHAR JHARKHAND 814112, Deoghar, DEOGHAR (Jharkhand) - 814112","Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Differently Abled, Education & Literacy, Environment & Forests, Micro Small & Medium Enterprises, Rural Development & Poverty Alleviation, Skill Development, Water Resources"
610,SRI BABA BHANDESHWAR AB NARAYAN FOUNDATION,"U85500JH2023NPL021144
RANCHI (Jharkhand)","H. NO. 05, SARNA TOLI,NEAR RIVER SIDE KOKAR , RANCHI , JHARKHAND - 834001, Nagri, RANCHI (Jharkhand) - 834001","Agriculture, Children, Education & Literacy, Health & Family Welfare, Rural Development & Poverty Alleviation, Urban Development & Poverty Alleviation"
611,SRISARANAYA FOUNDATION,"U88900JH2025NPL023848
EAST SINGHBUM (Jharkhand)","SRISARANAYA FOUNDATION 406, SUBHAM TOWER, BUDHA, COMPLEX, SUNDAR GARDEN, Mango, Mango, East Singhbhum- 831012, Jharkhand, jAMSHEDPUR, EAST SINGHBUM (Jharkhand) - 831012",--
612,SRISOME FOUNDATION,"U85499JH2023NPL020518
KODERMA (Jharkhand)","C/O RAVI MODI BY PASS ROA DHARAM KANTA KODERMA JHARKHAND 825409 IN, KODERMA, KODERMA (Jharkhand) - 825409",--
613,SRISOUJANY FOUNDATION,"U88900JH2023NPL021067
HAZARIBAGH (Jharkhand)","House No 24, Village: Hutpa, Post: Banahappa, Block: Sadar, PS: Muffasil, Near Shiv MandirHazaribag Jharkhand 825301 IN, Hazaribag, HAZARIBAGH (Jharkhand) - 825313",--
614,SRIVASTAVA WELFARE FOUNDATION,"U85500JH2024NPL023062
BOKARO (Jharkhand)","KAILASH NAGAR, CHAS RURAL, BOKARO, CHAS, BOKARO (Jharkhand) - 827013",--
615,SRNBS SERVICES FOUNDATION,"U88900JH2025NPL025543
JAMTARA (Jharkhand)","jharkhand, Jamtara, JAMTARA (Jharkhand) - 815351","Children, Education & Literacy, Health & Family Welfare, Skill Development, Youth Affairs"
616,STAR CITY BHARAT MEDIA NETWORK FOUNDATION,"U88900JH2024NPL022955
DHANBAD (Jharkhand)","sidhabad brahmandiha topchanchi dhanbad jharkhand, DHANBAD, DHANBAD (Jharkhand) - 828402",--
617,STAR RAINBOW GALAXY FOUNDATION,"U85300JH2021NPL016930
DHANBAD (Jharkhand)","QR NO. ML2-223, MANOHARTAND, NEAR SINDRI COLLEGE, DHANBAD, JHARKHAND, INDIA, 828122, DHANBAD, DHANBAD (Jharkhand) - 828122",--
618,STEEL-CITY INNOVATION FOUNDATION,"U85300JH2021NPL016944
BOKARO (Jharkhand)","H.No.296, C/o. NOBLE PUBLIC SCHOOL,SARASWATI CHOWK,BHOJPUR COLONY,CHAS, BOKARO, Bokaro, Jharkhand,India, 827013, BOKARO, BOKARO (Jharkhand) - 827013",--
619,STEPPING SMILES FOUNDATION,"U88900JH2023NPL021642
GIRIDIH (Jharkhand)","NEAR MEGHA ELECTRIC, VILL- TELODIH, HANDADIH, GIRIDIH, GIRIDH, JHARKHAND 815316, Handadih, GIRIDIH (Jharkhand) - 815316",--
620,STEPS CHARITABLE ORGANISATION,"U74999JH2016NPL008973
RANCHI (Jharkhand)","18C, RADHA GOVIND STREET THARPAKHNA, Ratu, RANCHI (Jharkhand) - 834001","Aged/Elderly, Children, Civic Issues, Education & Literacy, Environment & Forests, Health & Family Welfare, Human Rights, Information & Communication Technology"
621,Strays of jsr foundation,"U88900JH2025NPL024385
SARAIKELA KHARSAWAN (Jharkhand)","PLOT NO- 643, RIVER SIDE, PANCHWATI COLONY, MANJHI, Seraikela Kharsawan, Adityapur(Gamharia), SARAIKELA KHARSAWAN (Jharkhand) - 831013","Animal Husbandry, Dairying & Fisheries, Animal Welfare"
622,STREMAX FOUNDATION,"U85306JH2023NPL021760
HAZARIBAGH (Jharkhand)","Bharat Mata Chowk, Near Konar Pool, Hazaribag, 825301 (JH), Hazaribag, HAZARIBAGH (Jharkhand) - 825301",--
623,STUTI SOCIAL WELFARE FOUNDATION,"U85500JH2025NPL024129
DUMKA (Jharkhand)","HOUSE NO147, DUDHANI, RAGHUNATHGANJ, DUMKA , JHARKHAND814101, RAGHUNATHGANJ, DUMKA (Jharkhand) - 814101",--
624,SUFFLEGREEN FOUNDATION,"U88900JH2025NPL024259
RANCHI (Jharkhand)","VILL HOTWASI, MAHUWA TOLI, 32, AKAR, P.O. BALALONG, RANCHI, Nagri, RANCHI (Jharkhand) - 834004","Animal Welfare, Environment & Forests, Labour & Employment, Skill Development, Youth Affairs"
625,SUJAGAR ANIMAL FOUNDATION,"U96092JH2025NPL024139
EAST SINGHBUM (Jharkhand)","C/O S.N. SAMANTO, DURGA NAGAR, CHOTAGOVINDPUR, JHARKHAND-831015, Baharagora, EAST SINGHBUM (Jharkhand) - 831015","Animal Husbandry, Dairying & Fisheries, Animal Welfare"
626,SUKHSMRITI EDUCATION FOUNDATION,"023485
RANCHI (Jharkhand)","C/O SHAKUNTALA SHRIVASTAV, NEAR DAV KAPILDEV SCHOOL, Doranda , Ranchi, Jharkhand, India, 834002, Ranchi, RANCHI (Jharkhand) - 834002",--
627,SUMISEVA FOUNDATION,"U88900JH2025NPL023844
GIRIDIH (Jharkhand)","C/O SUJIT KUMAR SHARMA, VILL-MANGRODIH,Giridih, Giridh, Giridih, Jharkhand, India, 815301, Giridih, GIRIDIH (Jharkhand) - 815301",--
