Sr. No,Name of NPO,"Registration No,District (State)",Address,Sectors
1382,Shantidoot Welfare Foundation,"U85300BR2020NPL049358
NALANDA (Bihar)","Near Devi Sarai Chowk N.H-20 , Bihar Sharif, Nalanda-803101, Bihar Sharif, NALANDA (Bihar) - 803101",--
1383,SHANTIKRISHNA SONS FOUNDATION,"U88100BR2025NPL077047
SARAN (Bihar)","House No 4864, Sheo Bazar Chapra, Chapra, SARAN (Bihar) - 841301","Aged/Elderly, Differently Abled, Education & Literacy, Health & Family Welfare"
1384,SHANTISEWAK FOUNDATION,"053217
SAMASTIPUR (Bihar)","C/o RAMSEWAK THAKUR, VILLGOHI BISHUNPUR LOKHMI, TOLA GOHI WARISHNAGAR SAMASTIPUR Samastipur BR 848133 IN, SAMASTIPUR, SAMASTIPUR (Bihar) - 848133",--
1385,Sharda Harinandan Wizdom Entrusted Techno Association,"SRN AA7966206
SUPAUL (Bihar)","C/o Vijay Kumar Yadav, plot- TR2215080, Village and Post office- Daparkha, Triveniganj,, Tribeniganj, SUPAUL (Bihar) - 852139","Education & Literacy, Panchayati Raj"
1386,SHARVA ANANTA FOUNDATION,"U86900BR2024NPL067821
ROHTAS (Bihar)","C/O VIKASH KUMAR, VILL-BHADOKHRA, Tilouthu, Tilouthu, Rohtas- 821312, Bihar, Tilauthu, ROHTAS (Bihar) - 821312",--
1387,SHARVAHIT WELFARE FOUNDATION,"U85500BR2023NPL062450
GOPALGANJ (Bihar)","H.NO. 142, HAJIYAPUR WARD NO. 9, GOPALGANJ, GOPALGANJ (Bihar) - 841428",--
1388,Shashi Meena Foundation,"U85300BR2020NPL049681
NALANDA (Bihar)","C/O SUKHDEV PRASAD, VILL- SARAIYAPAR, P.O- PAITHANA, PANCH-DHEKWAHA ISLAMPUR Nalanda, Nalanda, NALANDA (Bihar) - 801303",--
1389,SHASWAT SEVA SANGAM FOUNDATION,"U86909BR2023NPL064000
VAISHALI (Bihar)","Panch -JAHNGIRPUR PATHERA, VILL. SAIDPUR PATHERA, VAISHALI, VAISHALI, VAISHALI, BIHAR, JAHNGIRPUR PATHERA, VAISHALI (Bihar) - 844128",--
1390,SHAUBHAGYA UNNATI FARMERS PRODUCER COMPANY LIMITED,"U01100BR2019PTC040816
BHOJPUR (Bihar)","VILL MISHRAWALIA POST NAYA MOHAMMADPUR PS KOILWAR, ARRAH, BHOJPUR (Bihar) - 802163",--
1391,SHAWKI SHOBHAK FOUNDATION,"U88900BR2023NPL065673
BUXAR (Bihar)","C/O DIWAKAR PATHAK AT,JASO ROAD GOLAMBER,Buxar,Buxar,Buxar-802101,Bihar, BUXAR, BUXAR (Bihar) - 802101",--
1392,SHAYAMA BIHARI FOUNDATION,"U85499BR2023NPL065111
PATNA (Bihar)","NARAIN RESIDENCY,TILAK NAGAR,KHAJPURA,B.V.COLLEGE,PHULWARI,PATNA, PATNA, PATNA (Bihar) - 800014",--
1393,SHEETAL VATIKA KISAN SAHAYATA FOUNDATION,"U85300BR2020NPL047687
MUZAFFARPUR (Bihar)","JAIL ROADBHOLA CHOWK NEAR CHILDREN ELEMENTARY SCHOOL MUZAFFARPUR BIHAR 842001, MUZAFFARPUR, MUZAFFARPUR (Bihar) - 842001",--
1394,SHEIKH FAZALUDDIN ALIAS CHEDI MIAN SB MAQSUDA BEGUM WELFARE FOUNDATION,"U85500BR2024NPL072553
PATNA (Bihar)","Khawaja Kalan, Patna City, Patna, Sampatchak, Bihar, India, 800008, PATNA CITY, PATNA (Bihar) - 800008",--
1395,SHEOHAR EDUCATIONAL FOUNDATION,"U80902BR2020NPL046202
PATNA (Bihar)","RAMNAGAR DIYARA, TOLA-RAJPOOT, ATHMALGOLA, patna, PATNA (Bihar) - 803212",--
1396,SHERAPHIN VOCATIONAL TRAINING AND PARAMEDICAL SKILL COUNCIL,"U85300BR2022NPL060591
PASHCHIM CHAMPARAN (Bihar)","Jhilliya Chhawni, Bettiah, West Champaran, Bihar, Bettiah, PASHCHIM CHAMPARAN (Bihar) - 845438",--
1397,SHERSHAHABADI DEVELOPMENT ASSOCIATION,"U88900BR2024NPL067324
KATIHAR (Bihar)","HAJI MD. IDRIDH, BUDDHU, CHAK, OFFICERD COLONY, KATIHAR, BIHAR-854105, KATIHAR, KATIHAR (Bihar) - 854105",--
1398,SHIKSH GRAVITY FOUNDATION,"060523
PATNA (Bihar)","4M/104, GROUND FLOOR, BAHADURPUR HOUSING COLONY, NEAR TV TOWER, PATNA, PATNA (Bihar) - 800026",--
1399,SHIKSHA FOUNDATION,"ABMCS8779E
PATNA (Bihar)","SHAHRJA COLONY -6, GAIGHAT GULZARBAGH, SAMPATCHAK PATNA -800007, PATNA, PATNA (Bihar) - 800007",--
1400,SHIKSHA PRASAR EDUCATIONAL FOUNDATION,"U85499BR2025NPL076908
NALANDA (Bihar)","Sadbhavna Nagar, Loyola School back gate, Harnaut, NALANDA (Bihar) - 803110","Aged/Elderly, Agriculture, Animal Welfare, Art & Culture, Children, Civic Issues, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Micro Small & Medium Enterprises, Minority Issues, Nutrition, Panchayati Raj, Religious, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research, Skill Development, Sports, Tribal Affairs, Urban Development & Poverty Alleviation, Women's Development & Empowerment, Youth Affairs"
1401,SHISHTIANANT SOCIAL WELFARE FOUNDATION,"U85300BR2021INPL049953
KATIHAR (Bihar)","C/O MASHUDA KHATUN REZAUL, VILL-TETALIA, PANCH-TETALIA, BLOCK-KADWA,, KETIHAR, BIHAR, INDIA, 855113., KATIHAR, KATIHAR (Bihar) - 855113",--
1402,SHITHIL WELFARE FOUNDATION,"U80904BR2018NPL038962
MUZAFFARPUR (Bihar)","VILLAGE- KARJA, PO KARJAPS KARJA1,MUZZAFARPUR,Bihar, India, 843106, Muzaffarpur, MUZAFFARPUR (Bihar) - 843106",--
1403,Shitlal Singh Foundation,"041557
ARARIA (Bihar)","915 PITHAURA NARPATGANJ, ARARIA, ARARIA (Bihar) - 854335",--
1404,SHIV RADHA GAUSALA FOUNDATION,"U01620BR2023NPL062097
ARARIA (Bihar)","C/O PRAMOD KUMAR BHATTABARI,DURGA STHAN FORBESGANJ, Forbesganj, ARARIA (Bihar) - 854318",--
1405,SHIV SHAKTI MAHADEV BATHNAHA FOUNDATION,"U85500BR2024NPL070709
MADHUBANI (Bihar)","WARD NO. 11, BATHNAHA, BELHA, PHULPRAS MADHUBANI, BELHA, MADHUBANI, GHOGHARDIHA, BIHAR847402, BELHA, MADHUBANI (Bihar) - 847402",--
1406,SHIV SHANKAR PRASAD EDUCATIONAL FOUNDATION,"U85300BR2024NPL071765
PATNA (Bihar)","C/o- Surendra Prasad, S/o- Shiv Shankar Prasad, Shikarpur, Dinapur-cum-Khagaul, Patna-801105, Bihar, Patna, PATNA (Bihar) - 801105",--
1407,SHIVAJEE EKTA MANCH FOUNDATION,"073383
PATNA (Bihar)","NIRAJ KUMAR, SHIVAJI PATH, YARPUR, Gardanibagh, Patna, Phulwari, Bihar, India, 800001, Phulwari, PATNA (Bihar) - 800001","Education & Literacy, Skill Development"
1408,SHIVAM HIGHER EDUCATION FOUNDATION,"U74999BR2015NPL025245
PURNIA (Bihar)","WARD NO.3/12, SHANTI NAGAR, MADHUBANI,, PURNIA, PURNIA (Bihar) - 854304",--
1409,SHIVANGINII SWARAJ FOUNDATION,"149455
PATNA (Bihar)","D/o Mr. Ravi Nandan Kumar Singh, West Lohanipur, Kadamkuan, Patna- 800003, Bihar, PATNA, PATNA (Bihar) - 800003",--
1410,SHIVANSH DEEPESHAM FOUNDATION,"076758
ARARIA (Bihar)","AT KHAJURI PO KHAJURI HAT VIA MERYGANJ PS BHARGAMA DIST ARARIA PIN CODE 854334 WARD NO 08, Forbesganj, ARARIA (Bihar) - 854334","Art & Culture, Education & Literacy, Information & Communication Technology"
1411,SHIVCHANCHAL WELFARE FOUNDATION,"U88900BR2025NPL076572
NALANDA (Bihar)","295, GANGA NAGAR, MURAURA, BIHAR SHARIF, MURAURA, Bihar, NALANDA (Bihar) - 803101","Aged/Elderly, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Education & Literacy, Micro Finance (SHGs), Skill Development, Sports, Vocational Training, Women's Development & Empowerment, Youth Affairs"
1412,SHIVNAAR SOCIAL SOLIDAITY FOUNDATION,"076560
PATNA (Bihar)","C/O RAJEEV NAYAN SINGH, SHIVNAR, JAZIRAMOKAMA, Shivnar, Patna, Mokama, Bihar, India, 803302, Barh, PATNA (Bihar) - 803302","Agriculture, Education & Literacy, Health & Family Welfare, Sports, Youth Affairs"
1413,SHIVNANDAN EDUTECH MEMORIAL FOUNDATION,"U85500BR2023NPL062934
PATNA (Bihar)","C/o Ram Babu, Balram Nagar Rajiv Nagar, Road No26 Phulwari Patna Bihar - 800013 India, PATNA, PATNA (Bihar) - 800024",--
1414,SHIVSHAKTI UNNATI FOUNDATION,"U88900BR2024NPL072112
SAMASTIPUR (Bihar)","C/O SURYA KALA DEVI, TOLA-SONWAR CHAK, Mahathi, Samastipur, Samastipur- 848211, Bihar, Samastipur, SAMASTIPUR (Bihar) - 848211",--
1415,SHOBHAAMMA CHARITABLE FOUNDATION,"070031
PATNA (Bihar)","C/O Sri.Amit Kumar,Gagan, Apartment,Flat no-607, Patna G.P.O., Phulwari, Patna- 800001, Bihar, PATNA, PATNA (Bihar) - 800001",--
1416,SHREE ADARSH CHANDRAKALA RAMLEELA SEVA FOUNDATION,"U85420BR2024NPL067477
SITAMARHI (Bihar)","WARD NO-11,HANUMANNAGAR,SURSAND ,SITAMARHI-843331, Sursand, SITAMARHI (Bihar) - 843331",Religious
1417,SHREE BIHARI HELPLESS HUMAN FOUNDATION,"U88900BR2024NPL067652
PATNA (Bihar)","C/O RAM AYODHYA THAKUR RAJIV NAGAR RD NO.24 PATLIPUTRA PHULWARI PATNA, Patna, PATNA (Bihar) - 800013",--
1418,SHREE DAYALU KANHAJI FOUNDATION,"U88900BR2024NPL070452
NAWADA (Bihar)","C/O SMT. SIHANTA DEVI, GOLA ROAD NAWADA , NAWADAH NAWADA, 805130, NAWADA, NAWADA (Bihar) - 805130",--
1419,SHREE DURGA MATA SEWA FOUNDATION,"U88900BR2025NPL074377
MUZAFFARPUR (Bihar)","C/o Ram Krishna, Ward No. 2, M.I.T., Mushahari, Muzaffarpur- 842003, Bihar, Musahri, MUZAFFARPUR (Bihar) - 842003","Agriculture, Art & Culture, Children, Civic Issues, Education & Literacy, Environment & Forests, Health & Family Welfare, HIV/AIDS, Human Rights, Information & Communication Technology, Legal Awareness & Aid, Nutrition, Panchayati Raj, Rural Development & Poverty Alleviation, Skill Development, Tourism, Vocational Training, Women's Development & Empowerment"
1420,SHREE JIVANADHAR MICRO FOUNDATION,"U88900BR2025NPL073433
PATNA (Bihar)","C/O SRI KRISHNA KUMAR, NR, RAIL NEER PLANT JAMALUDIN, Khagaul, Dinapur-Cum-Khagaul, Patna- 801105, Bihar, Dinapur, PATNA (Bihar) - 801105",--
1421,SHREE MANNARAYAN SEVA FOUNDATION,"U85300BR2022NPL060999
VAISHALI (Bihar)","SHREE MANNARAYAN SEVA FOUNDATION C/O RAJESH KR. RANJAN, VILL- PHULHARA, BAZAR, PSBIDUPUR( RS), PS- RAJAPAKAR,, HAJIPUR, Vaishali, Bihar, India, 844502, Hajipur, VAISHALI (Bihar) - 844502",--
1422,Shree Narayan Vidyasthal Foundation,"U85500BR2023NPL066351
SAHARSA (Bihar)","C/O SUNIL KUMAR SINGH, NDS NAYA BAZAR, WARDNO.02, Saharsa, Kahra, Saharsa- 852201, Bihar, Kahara, SAHARSA (Bihar) - 852201",Education & Literacy
1423,SHREE NARIYARI WOMEN'S ASSOCIATION,"U85320BR2022NPL058372
AURANGABAD (Bihar)","dhundhua High school campus, Nabinagar, AURANGABAD (Bihar) - 824303",--
1424,SHREE PHOOLMANGAL FOUNDATION,"U85500BR2024NPL068222
GOPALGANJ (Bihar)","C/o Mangal Singh, Ward 09, Jalalpur Khurd, Sidhwalia, Bishunpura, Gopalganj, GOPALGANJ, GOPALGANJ (Bihar) - 841407",--
1425,SHREE RAM PUNYODAYA FOUNDATION,"U88100BR2025NPL074923
DARBHANGA (Bihar)","C/o Kanhaiya Kumar Thakur, Panch Majhaura, Laxmanpur, Benipur, Darbhanga- 847201, Bihar, Benipur, DARBHANGA (Bihar) - 847201","Aged/Elderly, Agriculture, Civic Issues, Dalit Upliftment, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, Rural Development & Poverty Alleviation"
1426,SHREE RAMJANAKI KSHATRIYA CHARITABLE FOUNDATION,"U88900BR2024NPL068057
SARAN (Bihar)","C/O VINOD KUMAR SINGH SHOP 7 DAHIYAWAN ROAD WARD 23 CHAPRA SARAN BIHAR 841301, CHHAPRA, SARAN (Bihar) - 841301",--
1427,SHREE SHYAM SUNDAR SEVA FOUNDATION,"U88900BR2024NPL070189
MADHUBANI (Bihar)","House No-1, Ward No-14, Gosala Road Athithi Hotel, Madhubani, Sadar Madhubani, Madhubani- 847211, Bihar, MADHUBANI, MADHUBANI (Bihar) - 847211",--
1428,SHREE-VIDHHYAA SAMAJ SEVA FOUNDATION,"U88900BR2023NPL064007
PATNA (Bihar)","JHAURI SAW 08 CHIRAYATAND SABJI MANDI PHULWARI PATNA 800001 BIHAR, PATNA, PATNA (Bihar) - 800001",--
1429,SHREEDAH YATI FOUNDATION,"U85490BR2023NPL066651
SIWAN (Bihar)","C/o ARVIND KUMAR SINGH, VILL- JASAULI, PACHRUKHI, SIWAN, Bihar, India, 841241, JASAULI, SIWAN (Bihar) - 841241",--
1430,ShreeHarinaam Sewa Foundation,"U88900BR2025NPL076682
DARBHANGA (Bihar)","Ward no. 11, Bhandarisam, Manigachi, Darbhanga, Manigachhi, DARBHANGA (Bihar) - 847422","Art & Culture, Religious, Rural Development & Poverty Alleviation"
1431,SHREEJA EDUCATION & RESEARCH FOUNDATION,"U85500BR2024NPL067013
PATNA (Bihar)","B10, ANAND VIHAR, NEAR POLICE COLONY, ANISABAD, PATNA, PATNA, PATNA (Bihar) - 800002",--
1432,SHRESHTH BHARAT SOCIAL DEVELOPMENT FOUNDATION,"U85300BR2021NPL052678
GAYA (Bihar)","C/O:- RAMANUJ SHARMA, VILLPOST- MAU, P.S- TIKARI, DIST- GAYA ( BIHAR)-824235, GAYA, GAYA (Bihar) - 824235",--
1433,SHRI BHUPENDRA SEVA FOUNDATION,"U85300BR2020NPL046885
PATNA (Bihar)","C/O-UMA DEVI, W/O-NARENDRA KR. SINGH, DELWAN, KANKARBAGH, PATNA, BIHAR, INDIA, 800020, PATNA, PATNA (Bihar) - 800020",--
1434,SHRI CHANDRIKA SINGH SOCIAL AND CULTURAL FOUNDATION,"ABKCS7541J
BHOJPUR (Bihar)","VILLAGE CHATTER TOLA CHAI BLOCK BARKHARA BABHANGAWAN KOILWAR BHOJPUR 802163 BIHAR, KOILWAR, BHOJPUR (Bihar) - 802163",--
1435,SHRI GOPAL KRISHNA NIDHI FOUNDATION,"U86100BR2023NPL064828
MADHUBANI (Bihar)","Ward no.3, Village/Post- Kharagbani, Near Durga Mandir, Via/Ps- Babubarhi, District- Madhubani, Bihar- 847224, BIHAR, MADHUBANI (Bihar) - 847224",--
1436,SHRI LAKSHMEEPATI SEVASADAN FOUNDATION,"U88900BR2023NPL062965
GAYA (Bihar)","C/o SHANKARLAL VITHAL,WARD NO-40, KARSILLI,GAYA, Gaya, GAYA (Bihar) - 823001",--
1437,SHRI MAHTHIN MAI MICRO FOUNDATION,"U85300BR2022NPL059580
BHOJPUR (Bihar)","JUDGE BAZAR MAIN ROAD BEHEA, BHOJPUR, BIHAR, 802152, Behea, BHOJPUR (Bihar) - 802152","Education & Literacy, Micro Small & Medium Enterprises"
1438,SHRI PAIHARIJI MAHARAJ FOUNDATION,"U85500BR2024NPL071532
MUZAFFARPUR (Bihar)","M CORP., TOLAWARD NO 31BLOCK-MUSAH, Muzaffarpur, MUZAFFARPUR (Bihar) - 842001",--
1439,SHRI RADHA KUNJ BIHARI WELFARE FOUNDATION,"U88900BR2024NPL071581
PATNA (Bihar)","DIWAN MOHALLA, HAMAM, OPP. NAVSHAKTI PARK, PATNA CITY, PATNA, BIHAR, PATNA, PATNA (Bihar) - 800008",--
1440,SHRI RAMJANKI SOCIAL SERVICE FOUNDATION,"U85499BR2024NPL068717
PATNA (Bihar)","C/O RITA BARNWAL, GAIGHAT, BAJRANGPURI GULZARBAG, Gulzarbagh, Sampatchak, Patna- 800007, Bihar, PATNA, PATNA (Bihar) - 800007",--
1441,SHRI RPJ EDUCATIONAL FOUNDATION,"U85306BR2024NPL069345
AURANGABAD (Bihar)","C/o Ajit Kr Singh, J.K. Hospital, NH-2, Aurangabad, Aurangabad, AURANGABAD (Bihar) - 824101",--
1442,SHRI SHIVRATAN SHA FOUNDATION,"U86900BR2024NPL070246
PURBI CHAMPARAN (Bihar)","SHRI SHIVRATAN SHA FOUNDATION C/O RAMNATH PRASAD, Village: Bela, Ramgarhwa, East Champaran 845433, Bihar, Motihari, PURBI CHAMPARAN (Bihar) - 845433","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Biotechnology, Children, Disaster Management, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Human Rights, Science & Technology, Scientific & Industrial Research, Skill Development, Vocational Training, Women's Development & Empowerment"
1443,SHRI SHRI SHIVA MAHTO WELFARE FOUNDATION,"U85500BR2024NPL071335
GAYA (Bihar)","CO ALOK RANJANSALAIYAPO DUMARIYAPS DUMARIYA Gurua,Gaya Bihar India 824205, GAYA, GAYA (Bihar) - 824205",--
1444,SHRI TIRHUT ADARSH RAMLEELA FOUNDATION,"U88900BR2025NPL075962
SITAMARHI (Bihar)","SRIKHANDI BHITA,HANUMAN NAGAR,SURSAND,BIHAR,SITAMARHI-843331, Sursand, SITAMARHI (Bihar) - 843331","Art & Culture, Religious"
1445,SHRI VASUDEV DHAM FOUNDATION,"U85300BR2021NPL054553
DARBHANGA (Bihar)","H.NO-36, WARD 15, VILL.- MAJHOURA, PO-BAHERA,, DARBHANGA, DARBHANGA (Bihar) - 847201",--
1446,SHRIDHARA CONFEDERATION,"069519
PATNA (Bihar)","G4, WEST BAILEY ROAD, KALIKET NAGAR, DANAPUR CANTT., PATNA, PATNA (Bihar) - 801503",--
1447,Shrijanasila Foundation,"U85300BR2020NPL048107
GOPALGANJ (Bihar)","SHRIJANASILA FOUNDATION C/O RAMPATI DEVI,WARD NO-2, VILLAGE SUKDEWPATTI, BLOCK KUCHAIKOT, GOPALGANJ, BIHAR, Gopalganj, GOPALGANJ (Bihar) - 841503",--
1448,SHRIKHAND FOUNDATION,"U85300BR2022NPL056238
MUZAFFARPUR (Bihar)","C/o. Barun Kumar, Vill-Bharwari, Panch-Marwan, URF Ajijragar, Sakra, Muzaffarpur, Bihar-843119 , Muzaffarpur, MUZAFFARPUR (Bihar) - 843119",--
1449,SHRIMALI SOCIAL UPLISHMENT FOUNDATION,"U88900BR2025NPL075868
MUZAFFARPUR (Bihar)","C/O ANIL KUMAR NEEM CHOWK, PANCH SAHEBGANJ NAWANAGR, Kurnowl, Sahebganj, MUZAFFARPUR (Bihar) - 843125","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Land Resources, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Prisoner's Issues, Religious, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research, Skill Development, Sports, Tourism, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
1450,SHRIMATA BUIILDCON PRIVATE LIMITED,"U45203BR2016PTC031903
GAYA (Bihar)","JANAKPUR DINKARGHAT, NEAR SURYA MANDIR,P.O- BUNIYADGANJ,(MANPUR)P.S-MUFASIL , GAYA (BIHAR) 823003., GAYA, GAYA (Bihar) - 823003",--
1451,SHRIMATI ANITA DEVI FOUNDATION,"U85300BR2022NPL055854
VAISHALI (Bihar)","MAHUA SINGH RAE, TOLA MAHUA SINGH RAE,VAISHALI, BIHAR-844122, VAISHALI, VAISHALI (Bihar) - 844122",--
1452,SHRIMATI INDRA SINGH EDUCATIONAL FOUNDATION,"U85211BR2023NPL065229
MUZAFFARPUR (Bihar)","NEAR RAJ NARAYAN SINGH COLLEGE BALUGHAT ROAD MUZAFFARPUR, Musahri, MUZAFFARPUR (Bihar) - 842001","Children, Education & Literacy, Youth Affairs"
1453,SHRIMATI URMILADEVI FOUNDATION,"U88900BR2025NPL075825
ARWAL (Bihar)","C/O ANAND KUMAR, 149, KAHAT, ROJAPAR, Arwal, Arwal, Arwal- 804401, Bihar, Arwal, ARWAL (Bihar) - 804401","Aged/Elderly, Art & Culture, Children, Dalit Upliftment, Differently Abled, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, Human Rights, Labour & Employment, Legal Awareness & Aid, Skill Development, Sports, Vocational Training"
1454,SHRINE OF LIFE FOUNDATION,"U85499BR2023NPL064402
ROHTAS (Bihar)","72, 708, WARD NO 8, DHANPURA MICO, GT ROAD, NEAR ROHIT INTERNATIONAL, SASARAM, Rohtas BR 821115 IN, SASARAM, ROHTAS (Bihar) - 821115",--
1455,Shringi Rishi Sewa Foundation,"U85300BR2021NPL052541
MADHEPURA (Bihar)","C/o- Ganpati Singh, S/o- Lalgi Singh, Village- Rampatti, Panchsingheshwar,, Singheshwar, MADHEPURA (Bihar) - 851228",--
1456,SHRISHIVAY NAMASTUBHYAM FOUNDATION,"U88900BR2023NPL064103
JEHANABAD (Bihar)","DHURIYA BHAWAN, JEHANABAD, 804408, BIHAR, JEHANABAD, JEHANABAD (Bihar) - 804408",--
1457,SHRISHTI YUVRAJ EDUCATION FOUNDATION,"U88900BR2024NPL067401
BHAGALPUR (Bihar)","17, Nathnagar Road, Bhagalpur City, Bhagalpur, Jagdishpur, Bihar, India,812002, Bhagalpur, BHAGALPUR (Bihar) - 812002",--
1458,SHRIVINDA MICRO CARE FEDERATION,"U80302BR2022NPL059819
MUZAFFARPUR (Bihar)","C/O Prabhakar Kumar Karna, Vill. - Maheshwara, Block - Gaighat, Muzaffarpur, Muzaffarpur, Bihar, India - 847107, Gaighat, MUZAFFARPUR (Bihar) - 847107","Education & Literacy, Skill Development"
1459,SHRUTRISHI MAHIMA FOUNDATION,"U88900BR2025NPL075014
BHAGALPUR (Bihar)","C/O Meera Devi At, Shitalnagar sabour Bhithi, Sabour, Sabour, Bhagalpur- 813210, Bihar, Sabour, BHAGALPUR (Bihar) - 813210","Agriculture, Art & Culture, Education & Literacy, Environment & Forests"
1460,SHUBHAMRITA FOUNDATION,"U85500BR2024NPL068731
SAMASTIPUR (Bihar)","C/O SHYAM DEVI VILL, NAGAR BASTI TOLA-NAGAR, Samastipur, Samastipur, Samastipur- 848101, Bihar, Samastipur, SAMASTIPUR (Bihar) - 848101",--
1461,SHUBHARTH INITIATIVE FOUNDATION,"U88900BR2025NPL074280
VAISHALI (Bihar)","C/o Suresh Singh, Police line, Dighi Kala, Hajipur, VAISHALI (Bihar) - 844102","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Civic Issues, Education & Literacy, Environment & Forests, Health & Family Welfare, Information & Communication Technology, Nutrition, Skill Development"
1462,SHUBHRATA FOUNDATION,"U85490BR2025NPL073717
BEGUSARAI (Bihar)","C/O-VIKASH KUMAR, SHJADPURTOLA PANCH-GOURA, Teghra, Begusarai, Begusarai- 851133, Bihar, Begusarai, BEGUSARAI (Bihar) - 851133","Health & Family Welfare, Women's Development & Empowerment"
1463,SHUBHSHIWA HEALTH CARE FOUNDATION,"U86909BR2023NPL063342
PATNA (Bihar)","C/O - ARTI KUMARI, A33, KANKARBAGH, PATNA, Lohia Nagar, Patna, Sampatchak, Bihar, India, 800020, Sampatchak, PATNA (Bihar) - 800020","Aged/Elderly, Biotechnology, Children, Drinking Water, Education & Literacy, Health & Family Welfare, HIV/AIDS, Information & Communication Technology, Nutrition, Science & Technology, Scientific & Industrial Research, Skill Development, Vocational Training, Women's Development & Empowerment, Youth Affairs"
1464,SHUSAKSHM FOUNDATION,"U85300BR2021NPL050625
BUXAR (Bihar)","Co RAGHWENDRA UPADHYA, BADAKI, SARIMPUR, URBAN BUXAR Buxar Bihar India 802101, Buxar, BUXAR (Bihar) - 802101","Agriculture, Land Resources"
1465,SHYAM SAMARPAN FOUNDATION,"077246
BANKA (Bihar)","Shree Shyam Dealcom, Pvt.Ltd, Jhinajhal, Wirniya, Chandan, Chanan, BANKA (Bihar) - 814131","Art & Culture, Children, Education & Literacy, Health & Family Welfare, Rural Development & Poverty Alleviation, Science & Technology, Skill Development, Vocational Training, Women's Development & Empowerment, Youth Affairs"
1466,SHYAMA EDUCARE AND HEALTHCARE FOUNDATION,"U85500BR2024NPL069468
BHAGALPUR (Bihar)","PLOT NO.-768,NH-31,PRESIDENCY INTERNATIONAL SCHOOL,NAUGACHIYA, BHAGALPUR-853204 [BIHAR] , BHAGALPUR, BHAGALPUR (Bihar) - 853204",--
1467,SHYAMPUAND INDIA WELFARE COUNCIL,"071349
SAHARSA (Bihar)","c/o babuji yadav ward no. 22, Saur Bazar, SAHARSA (Bihar) - 852221","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Civic Issues, Drinking Water, Food Processing, Human Rights, Information & Communication Technology"
1468,SHYAMSHER MEMORIAL FOUNDATION,"U86900BR2024NPL069456
SARAN (Bihar)","C/O- RAMDEV MAHTO, VILL- RAMPUR, GALIMAPUR, RAMPUR, CHAPRA, 841311 BIHAR, CHAPRA, SARAN (Bihar) - 841311",--
1469,SIDDIQUI EDUSERVE FOUNDATION,"U85300BR2021NPL053645
DARBHANGA (Bihar)","VillageNarayanpur, PostSakri, PSManigachhiDarabhanga Bihar, Darbhanga, DARBHANGA (Bihar) - 847239",--
1470,SIDHARTH EDUCATIONAL AND WELFARE TRUST,"3049/2020
NAWADA (Bihar)","NEW AREA NAWADA 805110, Nawada, NAWADA (Bihar) - 805110","Children, Education & Literacy, Environment & Forests, Health & Family Welfare, Science & Technology, Scientific & Industrial Research, Skill Development, Sports"
1471,SIGHT CARES INDIA FOUNDATION,"U88900BR2025NPL073302
PATNA (Bihar)","C/O SMT. RAMJHARI DEVI, NAYATOLA DANAPUR, PATNA, 801503, Dinapur-Cum-Khagaul, PATNA (Bihar) - 801503","Aged/Elderly, Health & Family Welfare"
1472,SikkiKalaHandicraftProducerCompanyLimited,"U01110BR2020PTC048528
MADHUBANI (Bihar)","C/o Mahendra Kamat House No 112, Vill- Tola Sarabsima, Panch Lohna South Block, Jhanjharpur, MADHUBANI (Bihar) - 847407",--
1473,SIKSHALAYA GLOBAL FOUNDATION,"U85500BR2024NPL067568
VAISHALI (Bihar)","W.NO.09, RAMPUR CHAKLALA, PO PS JANDAHA, VAISHALI, Rasulpur Purusottam, Jhandaha, Vaishali, VAISHALI (Bihar) - 844505",--
